Item_ID,Target
YOSHTLYNYOSHZZ_11_2021,0
YOSHTLYNYOSHZZ_12_2021,0
YOSHTLYNYOSHZZ_1_2022,0
YOSHTLYNYOSHZZ_2_2022,0
YOSHRENECARL_11_2021,0
YOSHRENECARL_12_2021,0
YOSHRENECARL_1_2022,0
YOSHRENECARL_2_2022,0
YOSHLEENBART_11_2021,0
YOSHLEENBART_12_2021,0
YOSHLEENBART_1_2022,0
YOSHLEENBART_2_2022,0
YOSHILSEHOWAZZ_11_2021,0
YOSHILSEHOWAZZ_12_2021,0
YOSHILSEHOWAZZ_1_2022,0
YOSHILSEHOWAZZ_2_2022,0
WHITSHIAALBEZZ_11_2021,0
WHITSHIAALBEZZ_12_2021,0
WHITSHIAALBEZZ_1_2022,0
WHITSHIAALBEZZ_2_2022,0
WHITOLPHKAITZZ_11_2021,0
WHITOLPHKAITZZ_12_2021,0
WHITOLPHKAITZZ_1_2022,0
WHITOLPHKAITZZ_2_2022,0
WHITESHAMITCZZ_11_2021,0
WHITESHAMITCZZ_12_2021,0
WHITESHAMITCZZ_1_2022,0
WHITESHAMITCZZ_2_2022,0
WHITENNEANHZZ_11_2021,0
WHITENNEANHZZ_12_2021,0
WHITENNEANHZZ_1_2022,0
WHITENNEANHZZ_2_2022,0
WHITEENAREVA_11_2021,0
WHITEENAREVA_12_2021,0
WHITEENAREVA_1_2022,0
WHITEENAREVA_2_2022,0
WALLUTHEGRAHZZ_11_2021,0
WALLUTHEGRAHZZ_12_2021,0
WALLUTHEGRAHZZ_1_2022,0
WALLUTHEGRAHZZ_2_2022,0
WALLUDIETERRZZ_11_2021,0
WALLUDIETERRZZ_12_2021,0
WALLUDIETERRZZ_1_2022,0
WALLUDIETERRZZ_2_2022,0
WALLNALDDUAN_11_2021,0
WALLNALDDUAN_12_2021,0
WALLNALDDUAN_1_2022,0
WALLNALDDUAN_2_2022,0
WALLLIAMSUDI_11_2021,0
WALLLIAMSUDI_12_2021,0
WALLLIAMSUDI_1_2022,0
WALLLIAMSUDI_2_2022,0
WALLHORARUBYZZ_11_2021,0
WALLHORARUBYZZ_12_2021,0
WALLHORARUBYZZ_1_2022,0
WALLHORARUBYZZ_2_2022,0
WALLHAELARLEZZ_11_2021,0
WALLHAELARLEZZ_12_2021,0
WALLHAELARLEZZ_1_2022,0
WALLHAELARLEZZ_2_2022,0
WALLANDALEAN_11_2021,0
WALLANDALEAN_12_2021,0
WALLANDALEAN_1_2022,0
WALLANDALEAN_2_2022,0
TRANNARDCARLZZ_11_2021,0
TRANNARDCARLZZ_12_2021,0
TRANNARDCARLZZ_1_2022,0
TRANNARDCARLZZ_2_2022,0
TRANETTEALONZZ_11_2021,0
TRANETTEALONZZ_12_2021,0
TRANETTEALONZZ_1_2022,0
TRANETTEALONZZ_2_2022,0
THORRISAJULIZZ_11_2021,0
THORRISAJULIZZ_12_2021,0
THORRISAJULIZZ_1_2022,0
THORRISAJULIZZ_2_2022,0
TERRUTHEHARLZZ_11_2021,0
TERRUTHEHARLZZ_12_2021,0
TERRUTHEHARLZZ_1_2022,0
TERRUTHEHARLZZ_2_2022,0
TERRETHAARMA_11_2021,0
TERRETHAARMA_12_2021,0
TERRETHAARMA_1_2022,0
TERRETHAARMA_2_2022,0
SUNDSHIESUNDZZ_11_2021,0
SUNDSHIESUNDZZ_12_2021,0
SUNDSHIESUNDZZ_1_2022,0
SUNDSHIESUNDZZ_2_2022,0
SUNDSAACETHAZZ_11_2021,0
SUNDSAACETHAZZ_12_2021,0
SUNDSAACETHAZZ_1_2022,0
SUNDSAACETHAZZ_2_2022,0
SUNDROBBART_11_2021,0
SUNDROBBART_12_2021,0
SUNDROBBART_1_2022,0
